description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton | Jean C. Havez | Joseph A. Mitchell | Clyde Bruckman | Buster Keaton,,45,206,8.1,1924,Sherlock Jr.,63853
"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin | Charles Chaplin | Charles Chaplin | Mack Swain | Tom Murray,90.0,95,205,8.1,1925,The Gold Rush,126214
Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron | Julian Loyola | Germán Servidio | Damián Szifron | Darío Grandinetti,77.0,122,204,8.1,2014,Wild Tales,233308
American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold | Jez Butterworth | John-Henry Butterworth | Jason Keller | Matt Damon,81.0,152,203,8.1,2019,Ford v Ferrari,546478
"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",Jim Sheridan | Gerry Conlon | Terry George | Jim Sheridan | Alison Crosbie,84.0,133,202,8.1,1993,In the Name of the Father,199395
"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg | Peter Benchley | Carl Gottlieb | Roy Scheider | Robert Shaw,87.0,124,201,8.1,1975,Jaws,719940
"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Pete Docter | David Silverman | Lee Unkrich | Pete Docter | Jill Culton,79.0,92,200,8.1,2001,"Monsters, Inc.",1048584
"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois | Chris Sanders | William Davies | Dean DeBlois | Chris Sanders,75.0,98,199,8.1,2010,How to Train Your Dragon,870323
The husband of a missing woman becomes the main suspect in her disappearance.,David Fincher | Gillian Flynn | Ben Affleck | Rosamund Pike | Neil Patrick Harris,79.0,149,198,8.1,2014,Gone Girl,1142644
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Brad Bird | Jan Pinkava | Brad Bird | Jan Pinkava | Jim Capobianco,96.0,111,197,8.1,2007,Ratatouille,911711
